上能电气宁夏10GW逆变器工厂正式投产,https://news.solarbe.com/202107/23/342077.html,黑鹰光伏,宁夏光伏试产光伏逆变器光伏项目,2021-07-23
江苏晶飞5GW高效光伏产业项目落地,https://news.solarbe.com/202107/22/342048.html,新华报业网,江苏晶飞光伏产业项目组件,2021-07-22
北非最大！阳光电源签约埃及200MW项目,https://news.solarbe.com/202105/07/338331.html,阳光电源,阳光电源收费客户光伏电站,2021-05-07
天津大沽街引进华电海晶“盐光互补”光伏发电项目，总投资40亿元,https://news.solarbe.com/202105/07/338318.html,光伏們,华电海晶盐光互补光伏发电,2021-05-07
江西公布2021年首批光伏发电项目竞争结果，大唐、华能、国家能源位列前三,https://news.solarbe.com/202105/07/338313.html,北极星太阳能光伏网,光伏发电光储一体化光伏项目2021年竞争性配置,2021-05-07
5月20日前报送！河南及甘肃相继启动源网荷储、多能互补项目申报工作,https://news.solarbe.com/202105/07/338304.html,光伏們,源网荷储多能互补光伏发电,2021-05-07
总投资8.7亿元！凯盛一期项目西部首条光伏玻璃生产线点火投产！,https://news.solarbe.com/202105/07/338295.html,光伏头条,凯盛光伏玻璃太阳能产业,2021-05-07
总投资4.1亿元！年产400套(1200片)风电叶片项目落户齐齐哈尔！,https://news.solarbe.com/202105/06/338250.html,齐齐哈尔市委宣传部,风电叶片项目齐齐哈尔风电产业,2021-05-06
“光伏公寓”，来了！,https://news.solarbe.com/202104/30/338162.html,阳光家庭光伏,光伏公寓清洁电力光伏电站,2021-04-30
重大签约：中核汇能2GW滩涂光伏、中国电建智利480MW,https://news.solarbe.com/202104/30/338145.html,PV-Tech,中核汇能中国电建智利滩涂光伏项目,2021-04-30
浙江海宁启动全省首个用户侧“光伏+储能”项目,https://news.solarbe.com/202104/30/338134.html,科技日报,浙江海宁光伏+储能光伏项目,2021-04-30
100MW/200MWh！湖南省最大电网侧储能电站城步开建,https://news.solarbe.com/202104/29/338087.html,储能网,储能电站新能源储能项目,2021-04-29
中核拟在连云港投建2GW滩涂光伏示范项目,https://news.solarbe.com/202104/28/338008.html,光伏們,中核光伏示范项目新能源,2021-04-28
总投资214亿！青海海西4000兆瓦风光储氢一体化项目协议签约,https://news.solarbe.com/202104/26/337826.html,中国能建规划设计集团,4000兆瓦风光储氢一体化项目光伏发电碳达峰、碳中和,2021-04-26
214亿！中国能建签署青海海西4GW风光储氢一体化项目协议,https://news.solarbe.com/202104/26/337804.html,PV-Tech,风光储氢一体化能源转型碳达峰、碳中和,2021-04-26
国网公布2021年第六批可再生能源发电补贴项目清单,https://news.solarbe.com/202103/31/336538.html,国网新能源云,第六批可再生能源发电补贴项目清单光伏发电光伏补贴,2021-03-31
2021-2030年全球预计新增风电装机容量接近1太瓦,https://news.solarbe.com/202103/30/336483.html,电缆网,WoodMackenzie装机容量风能,2021-03-30
英国示范氢气燃料供热住宅，2030年前建立氢能小镇,https://news.solarbe.com/202103/18/336025.html,国际能源小数据,氢气取暖,2021-03-18
德国与加拿大计划联合开发绿色氢能,https://news.solarbe.com/202103/18/335989.html,电缆网,可再生能源氢,2021-03-18
Saipem希望在意大利、阿尔巴尼亚和摩洛哥建立绿色氢生产厂,https://news.solarbe.com/202103/17/335978.html,pv-magazine,氢Saipem,2021-03-17
漂浮式风电技术创新是进一步降低成本的关键！,https://news.solarbe.com/202103/16/335923.html,海上风电观察,海上漂浮式风电锚定技术,2021-03-16
2020年广东完成光伏项目备案17GW：广东能源1.8GW，大唐、中广核超1GW,https://news.solarbe.com/202103/09/335677.html,北极星太阳能光伏网,光伏发电项目光伏备案广东光伏市场,2021-03-09
大基地：国能投牵手青海，三峡签约四川、重庆，广东电力投资新疆！,https://news.solarbe.com/202103/01/335180.html,智汇光伏,国能投三峡广东电力光伏项目投资,2021-03-01
总投资150亿！华能将启动山西芮城风光储氢项目基地建设,https://news.solarbe.com/202102/25/335115.html,芮城县人民政府,华能集团平价光伏风光储氢项目基地,2021-02-25
粤电力拟投资上百亿元建设光伏及风力发电项目,https://news.solarbe.com/202102/24/335057.html,北京商报,粤电力光伏发电项目,2021-02-24
美利云50MWp光伏电站项目被国家电网纳入发电补贴项目清单,https://news.solarbe.com/202102/24/335053.html,中国证券网,美利云电站项目发电补贴项目,2021-02-24
维他奶抢先布局新能源 广东省佛山工厂光伏项目并网运行,https://news.solarbe.com/202102/08/334731.html,中新经纬,电站并网光伏项目广东光伏市场,2021-02-08
陕西：商洛建成陕南最大光伏农业与观光旅游综合利用示范项目,https://news.solarbe.com/202102/07/334705.html,西部网,商洛光伏光伏发电光伏项目,2021-02-07
大唐再签1GW风光项目,https://news.solarbe.com/202102/07/334673.html,大唐集团,大唐光伏项目签约央企,2021-02-07
涉及光伏项目7个！西安市2021重点建设项目公布,https://news.solarbe.com/202102/05/334648.html,西安市发展和改革委员会,重点项目隆基单晶电池,2021-02-05
投资6.3亿！广东河源市150MW平价农光互补电站即将落户,https://news.solarbe.com/202102/04/334615.html,南粤橘城,农光互补光伏电站广东光伏市场,2021-02-04
100MW！上海电建吕四平价光伏项目顺利并网发电,https://news.solarbe.com/202102/04/334614.html,上海电建,平价上网光伏发电光伏组件,2021-02-04
20GW！甘肃光热发电公司布局两大风光热储一体化清洁能源基地,https://news.solarbe.com/202102/04/334612.html,CSPPLAZA光热发电平台,风光热储一体化光热项目光伏项目,2021-02-04
北京国电中兴灵武韩家沟100MWp光伏发电复合110kV输变电工程获核准,https://news.solarbe.com/202102/02/334545.html,宁夏回族自治区发改委,光伏发电光伏项目并网宁夏光伏市场,2021-02-02
总投资10亿元！通威（东营）渔光一体生态园200MW光伏电站全容量并网发电,https://news.solarbe.com/202101/29/334435.html,东营网,通威光伏电站并网光伏发电,2021-01-29
四川武骏年产8GW光伏封装材料及制品项目签约,https://news.solarbe.com/202101/29/334489.html,攀枝花市经济合作局,四川武骏光伏封装材料光伏辅材,2021-01-29
